CGPA,Communication,Aptitude,Projects,Internships,Attendance,Coding,Certifications,Backlogs,College_Tier,Branch,Placed
6.87,2,61,4,3,59,30,2,5,1,ECE,0
9.75,8,71,0,2,74,59,2,0,3,EE,1
8.66,6,100,6,3,91,57,7,5,1,CSE,1
7.99,5,32,1,1,56,82,8,2,1,ME,1
5.78,1,87,5,1,90,22,8,2,2,EE,1
5.78,8,41,0,1,61,48,3,4,2,CSE,0
5.29,9,84,0,2,61,61,8,5,3,ECE,1
9.33,7,74,3,2,66,28,6,0,2,CSE,1
8.01,6,54,2,3,77,90,6,4,2,ECE,1
8.54,6,96,1,2,98,24,8,1,1,EE,1
5.1,4,38,4,0,61,52,6,5,3,CSE,0
9.85,4,100,0,2,56,50,0,4,1,CE,1
9.16,7,83,6,0,70,23,0,3,3,ECE,1
6.06,2,59,5,2,99,70,0,4,1,CE,1
5.91,10,84,4,3,67,29,2,1,3,IT,1
5.92,2,83,1,0,59,39,3,1,3,IT,0
6.52,10,41,6,1,88,37,7,1,3,ME,1
7.62,4,100,4,0,100,75,6,4,1,CSE,1
7.16,10,68,4,2,98,44,6,3,3,ECE,1
6.46,1,42,1,0,93,100,4,5,2,ECE,0
8.06,4,43,2,1,57,69,0,2,3,CE,1
5.7,7,63,4,3,69,34,0,4,3,CE,1
6.46,9,98,5,1,89,92,6,5,3,CSE,1
6.83,2,58,6,3,64,83,8,4,2,CSE,1
7.28,6,68,4,0,68,63,0,0,1,ME,1
8.93,9,73,6,2,92,56,0,1,3,ME,1
6.0,6,66,3,1,56,31,3,5,2,CE,0
7.57,8,61,1,0,100,41,0,3,1,ECE,1
7.96,7,75,5,1,77,53,8,2,2,ECE,1
5.23,8,95,4,0,73,70,1,5,2,CSE,1
8.04,2,87,6,0,68,100,2,1,2,EE,1
5.85,3,69,4,0,90,43,3,1,1,CE,1
5.33,2,35,0,0,57,98,8,1,3,CE,0
9.74,7,57,0,1,75,91,0,3,3,ME,1
9.83,3,40,2,2,59,21,4,2,1,ECE,1
